,neighborhood,code,name,longitude,latitude,rental_methods,capacity
50,Ville-Marie,6040,St-Jacques / St-Pierre,-73.55913430452347,45.50278649802565,"['KEY', 'CREDITCARD']",23.0
51,Ville-Marie,6041,St-Jacques / McGill,-73.56014415621758,45.50144108135568,"['KEY', 'CREDITCARD']",27.0
52,Ville-Marie,6042,de la Gauchetière / Robert-Bourassa,-73.56544822454453,45.50060578095098,"['KEY', 'CREDITCARD']",27.0
53,Ville-Marie,6043,Square Victoria (Viger / du Square-Victoria),-73.56295,45.50206,"['KEY', 'CREDITCARD']",19.0
54,Ville-Marie,6046,Métro Bonaventure (de la Gauchetière / de la Cathédrale),-73.56725603342056,45.49831217703312,"['KEY', 'CREDITCARD']",31.0
55,Ville-Marie,6048,William / St-Henri,-73.55725407600403,45.49891911390352,"['KEY', 'CREDITCARD']",19.0
56,Ville-Marie,6049,Queen / Wellington,-73.55534970760345,45.49760527699099,"['KEY', 'CREDITCARD']",47.0
57,Ville-Marie,6050,St-Maurice / Robert-Bourassa,-73.56024205684662,45.49857779102015,"['KEY', 'CREDITCARD']",35.0
58,Ville-Marie,6052,de la Commune / King,-73.55257093906403,45.49751503379366,"['KEY', 'CREDITCARD']",89.0
59,Ville-Marie,6053,du Président-Kennedy / Jeanne-Mance,-73.56881439685822,45.50820461505136,"['KEY', 'CREDITCARD']",27.0
60,Ville-Marie,6057,Peel / de la Gauchetiere,-73.5681800544262,45.4977183451679,"['KEY', 'CREDITCARD']",19.0
61,Ville-Marie,6058,Cypress / Peel,-73.57176750898361,45.49932551028458,"['KEY', 'CREDITCARD']",39.0
62,Ville-Marie,6059,de la Cathédrale / René-Lévesque,-73.56942057609558,45.499191207076606,"['KEY', 'CREDITCARD']",43.0
63,Ville-Marie,6060,Belmont / Robert-Bourassa,-73.56583714485167,45.501366848348894,"['KEY', 'CREDITCARD']",33.0
64,Ville-Marie,6061,Mansfield / Ste-Catherine,-73.57178628444672,45.50139870932151,"['KEY', 'CREDITCARD']",23.0
65,Ville-Marie,6062,Drummond / Ste-Catherine,-73.57422709465027,45.49863930330429,"['KEY', 'CREDITCARD']",31.0
66,Ville-Marie,6063,Drummond / de Maisonneuve,-73.57591,45.49947,"['KEY', 'CREDITCARD']",51.0
67,Ville-Marie,6064,Métro Peel (de Maisonneuve / Stanley),-73.57507,45.50038,"['KEY', 'CREDITCARD']",49.0
68,Ville-Marie,6065,de la Montagne / Sherbrooke,-73.57903361320496,45.49974475043378,"['KEY', 'CREDITCARD']",19.0
69,Ville-Marie,6066,McTavish / des Pins,-73.58100235462189,45.50530549708951,"['KEY', 'CREDITCARD']",23.0
70,Ville-Marie,6067,Porte-de-Québec / St-Hubert,-73.55087846517563,45.51249475526989,"['KEY', 'CREDITCARD']",19.0
71,Ville-Marie,6072,Metcalfe / de Maisonneuve,-73.57413053512573,45.50171494932855,"['KEY', 'CREDITCARD']",31.0
72,Ville-Marie,6073,de Maisonneuve / Aylmer (ouest),-73.57069,45.50501,"['KEY', 'CREDITCARD']",37.0
73,Ville-Marie,6075,University / des Pins,-73.58064293861388,45.50829509569767,"['KEY', 'CREDITCARD']",23.0
74,Ville-Marie,6078,St-Alexandre / Ste-Catherine,-73.56763422489166,45.50538225593995,"['KEY', 'CREDITCARD']",27.0
75,Ville-Marie,6081,Mackay / Ste-Catherine,-73.5769522190094,45.49570931691902,"['KEY', 'CREDITCARD']",31.0
76,Ville-Marie,6083,Square Phillips,-73.56810629367828,45.50373771539475,"['KEY', 'CREDITCARD']",35.0
