code,name,neighborhood,longitude,latitude,Capacity,Current_Bikes,recommended_adds,recommended_removals
6067,Porte-de-Québec / St-Hubert,Ville-Marie,-73.55087846517563,45.51249475526989,20,2,0,0
6068,2e avenue / Jean-Rivard,Villeray-Saint-Michel-Parc-Extension,-73.61656039953232,45.56250903804892,5,4,0,1
6070,Milton / University,Le Plateau-Mont-Royal,-73.57634872,45.5064484,35,22,0,0
6072,Metcalfe / de Maisonneuve,Ville-Marie,-73.57413053512573,45.50171494932855,15,10,0,0
6073,de Maisonneuve / Aylmer (ouest),Ville-Marie,-73.57069,45.50501,45,45,0,5
6075,University / des Pins,Ville-Marie,-73.58064293861388,45.50829509569767,25,10,6,0
6076,de Ville-Marie / Ste-Catherine,Mercier-Hochelaga-Maisonneuve,-73.52914720773697,45.55792114867545,10,7,0,2
6078,St-Alexandre / Ste-Catherine,Ville-Marie,-73.56763422489166,45.50538225593995,20,20,0,6
6079,Hutchison / Prince-Arthur,Le Plateau-Mont-Royal,-73.57610732316971,45.50975858607626,15,1,14,0
6080,Métro Vendôme (de Marlowe / de Maisonneuve),Côte-des-Neiges-Notre-Dame-de-Grâce,-73.60473453998564,45.47393028235147,15,3,3,0
6081,Mackay / Ste-Catherine,Ville-Marie,-73.5769522190094,45.49570931691902,10,3,0,0
6082,5e avenue / Rosemont,Rosemont-La Petite-Patrie,-73.58308374881744,45.54990048023633,10,1,9,0
6083,Square Phillips,Ville-Marie,-73.56810629367828,45.50373771539475,40,25,0,19
6084,Duke / Brennan,Ville-Marie,-73.55371087789534,45.495581350533946,20,12,0,12
6085,Notre-Dame / Peel,Ville-Marie,-73.56328,45.4952,70,19,0,17
6086,Basin / du Séminaire,Le Sud-Ouest,-73.56017231941223,45.49045242854756,30,12,0,11
6087,Notre-Dame / de la Montagne,Ville-Marie,-73.56481790542603,45.49302901258371,40,23,0,21
6088,Richmond / Notre-Dame,Le Sud-Ouest,-73.56777101755141,45.4891601257399,15,14,0,0
6089,Henri-Julien / du Carmel,Le Plateau-Mont-Royal,-73.59482109546661,45.527839413108,10,7,0,0
6090,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),Ville-Marie,-73.57112377882004,45.49487159597493,5,2,0,0
6091,Joseph-Manseau / René-Lévesque,Ville-Marie,-73.57676714658737,45.49168652100804,15,8,6,0
6092,Crescent / Ste-Catherine,Ville-Marie,-73.57554942369461,45.49709201687824,15,5,2,0
6093,Atwater / Sherbrooke,Ville-Marie,-73.58763009309769,45.4912258547597,15,9,6,0
6094,de Gaspé / Fairmount,Le Plateau-Mont-Royal,-73.5929274559021,45.52564776553033,10,4,0,0
6095,Chomedey / de Maisonneuve,Ville-Marie,-73.58400642871855,45.49180027678722,20,9,0,0
6096,Lucien L'Allier / St-Jacques,Ville-Marie,-73.56857568025589,45.49356916133978,25,16,0,16
6097,Ste-Catherine / St-Marc,Ville-Marie,-73.58029425144196,45.492897397177465,30,30,0,0
6098,Bishop / Ste-Catherine,Ville-Marie,-73.5765016078949,45.49658329569871,20,9,11,0
6099,Ste-Catherine / Labelle,Ville-Marie,-73.55922952294348,45.51506508398211,45,39,0,39
6100,Mackay / de Maisonneuve,Ville-Marie,-73.57851,45.49659,25,3,0,0
6101,Métro Villa-Maria (Décarie / de Monkland),Côte-des-Neiges-Notre-Dame-de-Grâce,-73.61979,45.479483,40,19,3,0
6102,Lincoln / du Fort,Ville-Marie,-73.583836,45.493034,15,15,0,0
6103,du Havre / Hochelaga,Ville-Marie,-73.55794072151183,45.535753085274585,10,2,0,0
6104,Wolfe / René-Lévesque,Ville-Marie,-73.5541883111,45.51681750463149,30,5,0,3
6105,Plessis / René-Lévesque,Ville-Marie,-73.55195805430411,45.51937252291976,25,7,0,0
6106,Papineau / René-Lévesque,Ville-Marie,-73.54926,45.52114,15,15,0,15
6107,St-Mathieu / Ste-Catherine,Ville-Marie,-73.57914626598358,45.49367956421703,25,12,0,0
6108,Logan / Fullum,Ville-Marie,-73.55117082595825,45.52836601591233,15,9,0,2
6109,Quai de la navette fluviale,Ville-Marie,-73.53838205337523,45.513741443172,10,6,0,0
6110,Poupart / Ste-Catherine,Ville-Marie,-73.54619935154915,45.52900206660643,10,2,0,0
6111,Parthenais / Ste-Catherine,Ville-Marie,-73.54886412620544,45.52600589494234,15,11,0,0
6112,Montcalm / de Maisonneuve,Ville-Marie,-73.55786561965942,45.519139183741046,15,15,0,15
6113,Alexandre-DeSève / Ste-Catherine,Ville-Marie,-73.55386108160019,45.52123044585842,15,13,0,10
6114,Métro Papineau (Cartier / Ste-Catherine),Ville-Marie,-73.55199,45.52353,45,34,0,24
6115,Benny / de Monkland,Côte-des-Neiges-Notre-Dame-de-Grâce,-73.63162770867348,45.46685123845205,10,2,0,0
6116,Plessis / Ontario,Ville-Marie,-73.56073021888733,45.52349210923463,20,6,0,0
6117,de Maisonneuve / Aylmer (est),Ville-Marie,-73.57048004865646,45.50526304478131,10,8,0,8
6118,de Champlain / Ontario,Ville-Marie,-73.56020584702492,45.52510954917077,25,16,0,3
6119,Ontario / de Lorimier,Ville-Marie,-73.55753839015959,45.52773089755533,25,21,0,14
6120,Métro Frontenac (Ontario / du Havre),Ville-Marie,-73.55217933654784,45.53370598779895,35,34,0,34
6121,du Havre / de Rouen,Ville-Marie,-73.55478646466509,45.53456256501449,20,5,0,5
6122,Logan / d'Iberville,Ville-Marie,-73.54913,45.53057,10,5,0,0
6123,Alexandre-DeSève / la Fontaine,Ville-Marie,-73.55821833014488,45.52327641182773,10,3,0,3
6124,Poupart / Ontario,Ville-Marie,-73.55343863368034,45.53193889278052,25,1,0,1
6125,Ellendale / de la Côte-des-Neiges,Côte-des-Neiges-Notre-Dame-de-Grâce,-73.629298,45.499757,10,9,1,0
6126,Fullum / de Rouen,Ville-Marie,-73.55871319770813,45.53213680524969,15,5,0,0
6127,de Gaspé / Jean-Talon,Villeray-Saint-Michel-Parc-Extension,-73.61622512340546,45.536582447959766,10,4,0,0
6128,Hogan / Ontario,Ville-Marie,-73.55116009712219,45.53529548038031,5,2,0,0
6129,de Bordeaux / Sherbrooke,Ville-Marie,-73.56305301189423,45.52997069129102,10,10,0,0
6130,Sherbrooke / Frontenac,Ville-Marie,-73.56081,45.5367,10,10,0,0
6131,Fullum / Sherbrooke,Le Plateau-Mont-Royal,-73.562425,45.533924,40,36,0,0
6132,Larivière / de Lorimier,Ville-Marie,-73.55923354625702,45.5291345371163,15,8,0,6
6133,Chapleau / Terrasse Mercure,Le Plateau-Mont-Royal,-73.56516659259796,45.53673838509649,10,5,0,0
6134,Bercy / Rachel,Le Plateau-Mont-Royal,-73.56196403503418,45.53840340979245,10,4,0,0
6136,Métro Laurier (Rivard / Laurier),Le Plateau-Mont-Royal,-73.5891147,45.52761627,75,33,42,0
6137,Cartier / Gauthier,Le Plateau-Mont-Royal,-73.56698781251907,45.53034708827074,15,4,11,0
6138,Gauthier / de Lorimier,Le Plateau-Mont-Royal,-73.56541335582732,45.53167355364312,15,6,1,0
6139,Gauthier / Parthenais,Le Plateau-Mont-Royal,-73.56377989053726,45.53292625574653,10,7,0,0
6140,Marquette / Rachel,Le Plateau-Mont-Royal,-73.5702896118164,45.5298015824607,10,7,3,0
6141,des Érables / Rachel,Le Plateau-Mont-Royal,-73.5668671131134,45.53354753725336,15,11,4,0
6142,Calixa-Lavallée / Rachel,Le Plateau-Mont-Royal,-73.57193917036057,45.527794785525096,40,20,20,0
6143,Rachel / de Brébeuf,Le Plateau-Mont-Royal,-73.57264,45.52689,20,19,0,0
6145,du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,-73.57197672128677,45.52451761488783,10,9,1,0
6146,du Parc-La Fontaine / Roy,Le Plateau-Mont-Royal,-73.56901288032532,45.52317047138824,20,11,9,0
6147,Calixa-Lavallée / Sherbrooke,Le Plateau-Mont-Royal,-73.56545,45.52479,45,34,11,0
6148,Émile-Duployé / Sherbrooke,Le Plateau-Mont-Royal,-73.56472939252852,45.52720058937288,40,12,24,0
6149,Chapleau / du Mont-Royal,Le Plateau-Mont-Royal,-73.56936,45.53867,10,3,0,0
6150,Messier / du Mont-Royal,Le Plateau-Mont-Royal,-73.5710031,45.53711414,10,2,0,0
6151,Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,-73.57146307826042,45.53646917409483,10,7,0,6
6152,Chabot / du Mont-Royal,Le Plateau-Mont-Royal,-73.57358872890472,45.53418509490266,15,8,0,0
