station_code,date,departures,arrivals,excess_arrivals
6221,2019-04-14,69,56,-13
6222,2019-04-14,27,21,-6
6223,2019-04-14,29,20,-9
6224,2019-04-14,34,24,-10
6225,2019-04-14,24,18,-6
6226,2019-04-14,1,2,1
6227,2019-04-14,40,47,7
6228,2019-04-14,11,8,-3
6229,2019-04-14,28,13,-15
6230,2019-04-14,31,22,-9
6231,2019-04-14,35,41,6
6233,2019-04-14,40,25,-15
6234,2019-04-14,36,39,3
6235,2019-04-14,12,9,-3
6236,2019-04-14,22,21,-1
6237,2019-04-14,32,28,-4
6240,2019-04-14,12,10,-2
6241,2019-04-14,21,21,0
6243,2019-04-14,22,15,-7
6245,2019-04-14,18,16,-2
6246,2019-04-14,18,19,1
6247,2019-04-14,35,30,-5
6248,2019-04-14,41,44,3
6249,2019-04-14,26,25,-1
6250,2019-04-14,72,70,-2
6251,2019-04-14,9,13,4
6252,2019-04-14,19,12,-7
6254,2019-04-14,41,25,-16
6255,2019-04-14,33,38,5
6257,2019-04-14,15,19,4
6258,2019-04-14,25,19,-6
6259,2019-04-14,14,8,-6
6260,2019-04-14,23,21,-2
6261,2019-04-14,15,18,3
6262,2019-04-14,15,17,2
6263,2019-04-14,5,10,5
6264,2019-04-14,11,15,4
6265,2019-04-14,11,8,-3
6266,2019-04-14,2,6,4
6267,2019-04-14,28,21,-7
6268,2019-04-14,22,16,-6
6269,2019-04-14,8,9,1
6272,2019-04-14,13,15,2
6273,2019-04-14,16,13,-3
6274,2019-04-14,12,8,-4
6275,2019-04-14,10,6,-4
6276,2019-04-14,20,9,-11
6277,2019-04-14,28,26,-2
6278,2019-04-14,7,3,-4
6279,2019-04-14,5,6,1
6280,2019-04-14,22,27,5
6301,2019-04-14,5,6,1
6302,2019-04-14,5,5,0
6303,2019-04-14,8,5,-3
6304,2019-04-14,2,4,2
6305,2019-04-14,10,8,-2
6306,2019-04-14,11,10,-1
6307,2019-04-14,25,31,6
6309,2019-04-14,11,7,-4
6310,2019-04-14,15,6,-9
6311,2019-04-14,8,10,2
6312,2019-04-14,8,8,0
6313,2019-04-14,15,10,-5
6314,2019-04-14,22,15,-7
6315,2019-04-14,15,13,-2
6316,2019-04-14,15,10,-5
6321,2019-04-14,17,22,5
6322,2019-04-14,6,7,1
6323,2019-04-14,9,5,-4
6324,2019-04-14,7,10,3
